date,downloads
2022-07-14,1670
2022-07-15,1510
2022-07-16,964
2022-07-17,981
2022-07-18,1922
2022-07-19,1824
2022-07-20,1808
2022-07-21,2313
2022-07-22,1643
2022-07-23,948
2022-07-24,961
2022-07-25,2646
2022-07-26,1693
2022-07-27,1605
2022-07-28,1566
2022-07-29,1417
2022-07-30,915
2022-07-31,941
2022-08-01,2197
2022-08-02,1688
2022-08-03,1655
2022-08-04,1613
2022-08-05,1391
2022-08-06,879
2022-08-07,868
2022-08-08,1530
2022-08-09,1606
2022-08-10,1622
2022-08-11,1401
2022-08-12,1371
2022-08-13,2426
2022-08-14,909
2022-08-15,1377
2022-08-16,1627
2022-08-17,1619
2022-08-18,1498
2022-08-19,1485
2022-08-20,978
2022-08-21,849
2022-08-22,1721
2022-08-23,1888
2022-08-24,2378
2022-08-25,1922
2022-08-26,1540
2022-08-27,1060
2022-08-28,1024
2022-08-29,1770
2022-08-30,1929
2022-08-31,1755
2022-09-01,1844
2022-09-02,1699
2022-09-03,1206
2022-09-04,1232
2022-09-05,1825
2022-09-06,2024
2022-09-07,2177
2022-09-08,1898
2022-09-09,1814
2022-09-10,1089
2022-09-11,1108
2022-09-12,1638
2022-09-13,1939
2022-09-14,1937
2022-09-15,1999
2022-09-16,1801
2022-09-17,1350
2022-09-18,1264
2022-09-19,1933
2022-09-20,2062
2022-09-21,1954
2022-09-22,2083
2022-09-23,1890
2022-09-24,1298
2022-09-25,1326
2022-09-26,2085
2022-09-27,2096
2022-09-28,2009
2022-09-29,2056
2022-09-30,1832
2022-10-01,1184
2022-10-02,1196
2022-10-03,1783
2022-10-04,1918
2022-10-05,1932
2022-10-06,1911
2022-10-07,1856
2022-10-08,1458
2022-10-09,1524
2022-10-10,2070
2022-10-11,2281
2022-10-12,2287
2022-10-13,2154
2022-10-14,2053
2022-10-15,1399
2022-10-16,1371
2022-10-17,2208
2022-10-18,2266
2022-10-19,2305
2022-10-20,2118
2022-10-21,1997
2022-10-22,1230
2022-10-23,1364
2022-10-24,2020
2022-10-25,2274
2022-10-26,2259
2022-10-27,2245
2022-10-28,2266
2022-10-29,1469
2022-10-30,1541
2022-10-31,2402
2022-11-01,2258
2022-11-02,2371
2022-11-03,2324
2022-11-04,2165
2022-11-05,1633
2022-11-06,1641
2022-11-07,2501
2022-11-08,2556
2022-11-09,2553
2022-11-10,2475
2022-11-11,2056
2022-11-12,1546
2022-11-13,1615
2022-11-14,2369
2022-11-15,2484
2022-11-16,2519
2022-11-17,2421
2022-11-18,2056
2022-11-19,1568
2022-11-20,1568
2022-11-21,2476
2022-11-22,2490
2022-11-23,2419
2022-11-24,2358
2022-11-25,2009
2022-11-26,1514
2022-11-27,1549
2022-11-28,2427
2022-11-29,2495
2022-11-30,2262
2022-12-01,2241
2022-12-02,2156
2022-12-03,1668
2022-12-04,1632
2022-12-05,2370
2022-12-06,2377
2022-12-07,2296
2022-12-08,2283
2022-12-09,2084
2022-12-10,1525
2022-12-11,1639
2022-12-12,2315
2022-12-13,2364
2022-12-14,2178
2022-12-15,2097
2022-12-16,1985
2022-12-17,1452
2022-12-18,1322
2022-12-19,2071
2022-12-20,2061
2022-12-21,2173
2022-12-22,1985
2022-12-23,1700
2022-12-24,1125
2022-12-25,1087
2022-12-26,1473
2022-12-27,1716
2022-12-28,1723
2022-12-29,1612
2022-12-30,1616
2022-12-31,1057
2023-01-01,968
2023-01-02,1677
2023-01-03,2116
2023-01-04,2101
2023-01-05,2324
2023-01-06,1888
2023-01-07,1378
2023-01-08,1443
2023-01-09,2078
2023-01-10,2272
